,どのように,,1|3,副,怎样地,,,,
迷います,まよう,迷う,2,動Ⅰ,拿不定主意、迷,道に迷う(みちにまよう):迷路;AかBか迷う(AかBかまよう):A或B犹豫不决,自,,
,せんぱい,先輩,0,名,学长、前辈,,,,
,まるで,,0,副,宛如、像(与「ように」呼应),,,,
,あかるい,明るい,0|3,イ形,开朗,性格が明るい(せいかくがあかるい):性格开朗,,,
,ちちおや,父親,0,名,父亲(郑重的表达方式),,,,
,ははおや,母親,0,名,母亲(郑重的表达方式),,,,
,みずうみ,湖,3,名,湖,,,,
目指します,めざす,目指す,2,動Ⅰ,指向、向着、以~为目标而努力,,他,,
,いのち,命,1,名,生命、命,,,,
,おせちりょうり,おせち料理,4,名,日本式年饭(过年时吃的特别的日式菜肴),,,,
,はつもうで,初詣で,3,名,在日本，新年时人们第一次去寺庙或神社参拜,,,,
,たたみ,畳,0,名,榻榻米,,,,
,ざぶとん,座布団,2,名,座垫,,,,
,ゆか,床,0,名,地板,,,,
,せいざ,正座,0,名,跪座,,,,
,おじぎ,,0,名,鞠躬,,,,
,さっか,作家,0,名,作家,,,,
,~ちゅう,~中,0,,之中,留守中(るすちゅう):不在家期间,,,
,いっぱい,,1|0,副,满满,人がいっぱい(ひとがいっぱい):挤满人,,,
,どんなに,,1,副,怎样地(与「ても」呼应),,,,
,りっぱ,立派,1,ナ形,优秀、完美,,,,
,けってん,欠点,3|0,名,缺点,,,,
,~すぎ,~過き,2,,过~,,,,
似合います,にあう,似合う,2,動Ⅰ,适合、相配,,自,,
,それで,,3|0,接,因此,,,,
,おれい,お礼,0,名,感谢,お礼を言う(おれいをいう):道谢,,,
,ポイント,,1|0,名,点、要点,,,,
,ないよう,内容,0,名,内容,,,,
聞き取ります,ききとる,聞き取る,3,動Ⅰ,听、听懂,,他,,
,ひょうげん,表現,3|0,名,表达,,,,
,ぶぶん,部分,1,名,部分,,,,
,しみん,市民,1,名,市民,,,,
,かいかん,会館,0,,会馆,,,,
,しみんかいかん,市民会館,-1,名,市民会馆,,,,
,でんとうてき,伝統的,0,ナ形,传统性[的],,,,
,じっさいに,実際に,0,副,实际上,,,,
,そういう,,0,連体,那样的(相当于上下文关系指示代词「そ」，本课中指上文中提到的场所),,,,
,ふだん,,1,副,通常,,,,
,なんとか,何とか,1,連語,设法、想办法,,,,
,イントネーション,,4,名,语调,intonation,,,
,しょうがくきん,奨学金,0,名,奖学金,,,,
,すいせんじょう,推薦状,0,名,推荐信,,,,
,こうりゅう,交流,0,名,交流,交流パーティー(こうりゅうパーティー):交流会,,,
,しかい,司会,0,名,主持人,,,,
